k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,5,400,150,60000,0.15,1340.73,1246,5.09245,1042.9,0.00144844,60000,152.514,1371,60,0.843383,33.3705,19.1992,1450.2
2000,5,400,150,60000,0.12,1340.73,1246,5.09245,1042.9,0.000579374,60000,152.514,1371,49,0.843383,33.3201,19.1702,1439.17
2000,5,400,150,60000,0.1,1340.73,1246,5.09245,1042.9,0.000579374,60000,152.514,1371,48,0.843383,33.3418,19.1827,1438.18
2000,5,400,150,70000,0.15,1340.73,1246,5.09245,1204.98,0.0023175,70000,156.002,1371,48,0.899291,38.5605,22.1852,1441.19
2000,5,400,150,70000,0.12,1340.73,1246,5.09245,1204.98,0.000869061,70000,156.002,1371,49,0.899291,38.5831,22.1982,1442.2
2000,5,400,150,70000,0.1,1340.73,1246,5.09245,1204.98,0.000869061,70000,156.002,1371,48,0.899291,38.5287,22.1668,1441.17
2000,5,400,150,80000,0.15,1340.73,1246,5.09245,1363.96,0.00289687,80000,157.177,1371,48,0.922649,43.8271,25.2152,1444.22
2000,5,400,150,80000,0.12,1340.73,1246,5.09245,1363.96,0.00115875,80000,157.177,1371,49,0.922649,43.8772,25.244,1445.24
2000,5,400,150,80000,0.1,1340.73,1246,5.09245,1363.96,0.000869061,80000,157.177,1371,48,0.922649,43.8809,25.2462,1444.25
2000,5,400,120,60000,0.15,1340.73,1246,5.09245,1181.88,0.00202781,60000,154.551,1371,49,0.889694,33.6422,19.3555,1439.36
2000,5,400,120,60000,0.12,1340.73,1246,5.09245,1181.88,0.000579374,60000,154.551,1371,49,0.889694,33.6318,19.3495,1439.35
2000,5,400,120,60000,0.1,1340.73,1246,5.09245,1181.88,0.000579374,60000,154.551,1371,48,0.889694,33.6194,19.3423,1438.34
2000,5,400,120,70000,0.15,1340.73,1246,5.09245,1359.39,0.00289687,70000,155.858,1371,49,0.91533,39.0026,22.4395,1442.44
2000,5,400,120,70000,0.12,1340.73,1246,5.09245,1359.39,0.00115875,70000,155.858,1371,49,0.91533,38.9421,22.4047,1442.4
2000,5,400,120,70000,0.1,1340.73,1246,5.09245,1359.39,0.000869061,70000,155.858,1371,49,0.91533,38.9577,22.4137,1442.41
2000,5,400,120,80000,0.15,1340.73,1246,5.09245,1538.19,0.00318656,80000,156.649,1371,49,0.93304,44.3502,25.5162,1445.52
2000,5,400,120,80000,0.12,1340.73,1246,5.09245,1538.19,0.00115875,80000,156.649,1371,50,0.93304,44.3163,25.4967,1446.5
2000,5,400,120,80000,0.1,1340.73,1246,5.09245,1538.19,0.000869061,80000,156.649,1371,48,0.93304,46.0907,26.5175,1445.52
2000,5,400,100,60000,0.15,1340.73,1246,5.09245,1307.37,0.00260718,60000,154.293,1371,48,0.901435,34.0235,19.5748,1438.57
2000,5,400,100,60000,0.12,1340.73,1246,5.09245,1307.37,0.000869061,60000,154.293,1371,48,0.901435,33.8114,19.4528,1438.45
2000,5,400,100,60000,0.1,1340.73,1246,5.09245,1307.37,0.000869061,60000,154.293,1371,49,0.901435,33.8517,19.476,1439.48
2000,5,400,100,70000,0.15,1340.73,1246,5.09245,1506.42,0.00318656,70000,155.304,1371,48,0.923161,39.2555,22.585,1441.59
2000,5,400,100,70000,0.12,1340.73,1246,5.09245,1506.42,0.00115875,70000,155.304,1371,48,0.923161,39.1984,22.5522,1441.55
2000,5,400,100,70000,0.1,1340.73,1246,5.09245,1506.42,0.000869061,70000,155.304,1371,49,0.923161,39.1069,22.4995,1442.5
2000,5,400,100,80000,0.15,1340.73,1246,5.09245,1704.55,0.00492468,80000,155.994,1371,48,0.938427,44.4959,25.6,1444.6
2000,5,400,100,80000,0.12,1340.73,1246,5.09245,1704.55,0.0023175,80000,155.994,1371,49,0.938427,44.5026,25.6038,1445.6
2000,5,400,100,80000,0.1,1340.73,1246,5.09245,1704.55,0.00144844,80000,155.994,1371,49,0.938427,44.5009,25.6028,1445.6
2000,5,350,150,60000,0.15,1340.73,1246,5.09245,1017.59,0.00144844,60000,155.111,1371,49,0.882336,33.0571,19.0188,1439.02
2000,5,350,150,60000,0.12,1340.73,1246,5.09245,1017.59,0.000579374,60000,155.111,1371,49,0.882336,33.0513,19.0155,1439.02
2000,5,350,150,60000,0.1,1340.73,1246,5.09245,1017.59,0.000579374,60000,155.111,1371,49,0.882336,32.9783,18.9735,1438.97
2000,5,350,150,70000,0.15,1340.73,1246,5.09245,1172.71,0.00173812,70000,156.591,1371,49,0.910656,38.3705,22.0758,1442.08
2000,5,350,150,70000,0.12,1340.73,1246,5.09245,1172.71,0.000579374,70000,156.591,1371,49,0.910656,38.2943,22.032,1442.03
2000,5,350,150,70000,0.1,1340.73,1246,5.09245,1172.71,0.000579374,70000,156.591,1371,49,0.910656,38.3798,22.0812,1442.08
2000,5,350,150,80000,0.15,1340.73,1246,5.09245,1327.14,0.0023175,80000,157.508,1371,49,0.929891,43.533,25.046,1445.05
2000,5,350,150,80000,0.12,1340.73,1246,5.09245,1327.14,0.000869061,80000,157.508,1371,49,0.929891,43.71,25.1478,1445.15
2000,5,350,150,80000,0.1,1340.73,1246,5.09245,1327.15,0.000579374,80000,157.508,1371,48,0.929891,43.4881,25.0202,1444.02
2000,5,350,120,60000,0.15,1340.73,1246,5.09245,1148.82,0.00144844,60000,155.039,1371,48,0.898944,33.2167,19.1107,1438.11
2000,5,350,120,60000,0.12,1340.73,1246,5.09245,1148.82,0.000579374,60000,155.039,1371,49,0.898944,33.2329,19.12,1439.12
2000,5,350,120,60000,0.1,1340.73,1246,5.09245,1148.82,0.000579374,60000,155.039,1371,49,0.898944,33.2283,19.1173,1439.12
2000,5,350,120,70000,0.15,1340.73,1246,5.09245,1323.84,0.0023175,70000,156.106,1371,48,0.921287,38.5643,22.1873,1441.19
2000,5,350,120,70000,0.12,1340.73,1246,5.09245,1323.84,0.000869061,70000,156.106,1371,48,0.921287,38.5953,22.2052,1441.21
2000,5,350,120,70000,0.1,1340.73,1246,5.09245,1323.84,0.000579374,70000,156.106,1371,48,0.921287,38.6083,22.2127,1441.21
2000,5,350,120,80000,0.15,1340.73,1246,5.09245,1496.68,0.00376593,80000,156.817,1371,48,0.937258,43.9166,25.2667,1444.27
2000,5,350,120,80000,0.12,1340.73,1246,5.09245,1496.68,0.00173812,80000,156.817,1371,47,0.937258,43.8465,25.2263,1443.23
2000,5,350,120,80000,0.1,1340.73,1246,5.09245,1496.68,0.000869061,80000,156.817,1371,48,0.937258,43.9001,25.2572,1444.26
2000,5,350,100,60000,0.15,1340.73,1246,5.09245,1272.55,0.0023175,60000,154.594,1371,47,0.907827,33.6895,19.3827,1437.38
2000,5,350,100,60000,0.12,1340.73,1246,5.09245,1272.55,0.000869061,60000,154.594,1371,48,0.907827,33.5403,19.2968,1438.3
2000,5,350,100,60000,0.1,1340.73,1246,5.09245,1272.55,0.000579374,60000,154.594,1371,47,0.907827,33.6043,19.3337,1437.33
2000,5,350,100,70000,0.15,1340.73,1246,5.09245,1467.9,0.00289687,70000,155.464,1371,47,0.927158,39.1414,22.5193,1440.52
2000,5,350,100,70000,0.12,1340.73,1246,5.09245,1467.9,0.00144844,70000,155.464,1371,50,0.927158,39.6976,22.8393,1443.84
